Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Banded Pushdown,hecho,Empuje,Carga externa,Banda,"Tríceps, extensores Recto abdominal,",erector de la columna,Sagital,Pegados a los costados del cuerpo.,https://www.youtube.com/watch?v=ElEx8KVIVyY
Banded Rear Delt Fly,hecho,Jalón,Carga externa,Banda,"Deltoides Trapecio posteriores, romboides, Deltoides medial","recto abdominal transverso las rodillas y flexiona las caderas para encontrar una posición inclinada, manteniendo la columna neutra. Para iniciar el movimiento, activa el core",,Comienza a mover las manos desde justo debajo de los hombros hacia afuera a s,https://www.youtube.com/watch?v=yYwpr72z6vk
Banded Reverse Bicep Curl,hecho,Jalón,Carga externa,Banda,"Bíceps, braquial Braquiorradial",Brachioradialis,Sagital,"Los hombros, de modo que las palmas ahora miren hacia adelante. Luego, invierte el movimiento de regreso al inicio",https://www.youtube.com/watch?v=IyARtTqX1w0
Banded Reverse Crunch,hecho,Core,Carga externa,Banda,"Recto abdominal, flexores de cadera Erector de la columna",Erector Spinae,Sagital,"Parte frontal de tus cuádriceps, cerca de la parte delantera de las caderas. Detrás de ti, sujeta una kettlebell con los brazos extendidos por encima de la cabeza y agarra los lados de la ha El Banded Reverse Lunge requiere que una banda de resistencia se pase por debajo de tu pie delantero, y el otro extremo pase por detrás",https://www.youtube.com/watch?v=8cfNcHhM6K4
Banded Reverse Lunge,hecho,Una pierna,Carga externa,Band,"Cuádriceps, Isquiotibiales, Glúteos Gemelos",Calves,Sagital,"Postura neutra, con los pies aproximadamente a la anchura de la cadera. Mantén el pie con banda estacionario y con la otra pierna, extiende los dedos de los pies hacia atrás hasta el frente se dobla la rodilla y",https://www.youtube.com/watch?v=UxjGNHQjGcU
Banded Row to Neck,hecho,Tirar,Carga externa,Band,"Latísimo Trapecio del dorso, Romboides, Bíceps,",Deltoides posteriores,Sagital,"Paso o dos hacia atrás para comenzar con un poco de tensión. Para iniciar el movimiento, b El swing ruso con kettlebell con banda se configura colocando un lazo de una banda de resistencia debajo de los pies y el otro lazo alrededor de Swing ruso con kettlebell y banda",https://www.youtube.com/watch?v=zYD8ajdwxo4
Swing ruso con kettlebell y banda,hecho,Doblar,Explosividad,Kettlebell,"Erectores de la columna, isquiotibiales, glúteos","latísimo del dorso, bíceps, trapecio",Sagital,"Con los pies a la anchura de la cadera o un poco más, con una kettlebell colgando en frente del cuerpo, con las manos en pronación La press sentado tras el cuello con banda requiere que la banda pase por debajo de un banco plano con los extremos libres enroscados alrededor de cada extremo de una barra. Prensa sentada detras del cuello con banda",https://www.youtube.com/watch?v=WR9Q7N-1puI
Banded Seated Behind the Neck Press,hecho,Empujar,Carga externa,Barra,"Romboides, Tríceps Deltoides, Trapecio, Pectorales,",Erector de la columna,Frontal,"Mantén el core contraído, talones en el suelo y la columna vertical.",https://www.youtube.com/watch?v=IK0A9Odmbdk
Prensa de hombro con banda,hecho,Empujar,Carga externa,Band,"Deltoides Tríceps anteriores, Deltoides medios, Recto del abdomen,",Romboides,Frontal,"Mirando hacia adelante y los codos abiertos hacia fuera, en línea con los lados de",https://www.youtube.com/watch?v=ftNw3y9XemE
Remo de un solo brazo con banda,hecho,Tirar,Carga externa,Banda,"Dorsal ancho, escápulas, bíceps",deltoides posteriores,Sagital,"Como si fueras a dar la mano, así que el brazo está extendido hacia adelante. Da un paso o dos hacia atrás para comenzar con un poco de tensión. Para iniciar el movimiento, comienza",https://www.youtube.com/watch?v=FbeuQKNLFT0
Banded Single Arm Shoulder Press,hecho,Empuje,Carga externa,Banda,"Deltoides Tríceps anteriores, deltoides medios, Recto abdominal,",oblicuos,Sagital,Empuja la mano con la banda por encima de la cabeza y extiende el brazo lo más que puedas,https://www.youtube.com/watch?v=hzPi41193GI
Sentadilla Búlgara con Banda,hecho,Una pierna,Carga externa,Banda,"Cuádriceps, isquiotibiales, glúteosRecto abdominal","erectores espinales,",Sagital,Para quedar en una posición de zancada alta.,https://www.youtube.com/watch?v=8Kjeu5ZYDJA
Cruce de Pecho Declinado de Pie con Bandas,hecho,Empuje,Carga externa,Banda,"Pectorales, Serrato anterior deltoides anteriores, Escápulas, recto abdominal",,Sagital,TcNM0 mantén los brazos largos a los lados. Da la espalda al punto donde están ancladas las bandas,https://www.youtube.com/watch?v=tMeut
Da uno o dos pasos hacia adelante para comenzar con un poco de resis,hecho,Jalar,Carga externa,Anillas,"Dorsal Tríceps, ancho, bíceps pectorales, Serrato,",recto abdominal,Sagital,"Seguido del otro pie, de modo que ambos pies estén apoyados por la banda. Para iniciar el Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=fkg1LuEW2-Y
Peso muerto sumo con banda,hecho,Doblar,Carga externa,Barra,"Erector de la columna, glúteos, Isquiotibiales, Cuádriceps Flexores de la cadera, recto abdominal",", Romboides",Sagital,"Los puntos de anclaje superiores de la banda. Luego, para ponerte en posición inicial, agarra la ha",https://www.youtube.com/watch?v=q8VW2o2FU4Q
Baja a una posición sentada y dobla Jalón de lat supinado con banda,hecho,,Carga externa,Banda,"Latissimus Deltoides Dorsi, Bíceps, Posterior Romboides,",Braquial,Sagital,"Traza las escápulas hacia atrás un poco para comenzar. Para iniciar el movimiento, b",https://www.youtube.com/watch?v=FzUJPHBHFAA
Banded Tall Kneeling Pallof Press,hecho,Empuje,Carga externa,Banda,"Pectoral, Abdominis, Deltoides, Tríceps Transverso Recto abdominal",Rectus Abdominis,Sagital,Extiende los brazos delante del pecho. Da un paso hacia afuera lateralmente para alejarse fro,https://www.youtube.com/watch?v=Kinco0AEX6k
Da un paso hacia afuera lateralmente para alejarse fro,hecho,,Carga externa,Banda,"Trapecio, Romboides, Deltoides Escápula",Scapula,Sagital,"Banda en cualquiera de las manos. Colócate de modo que la parte delantera del cuerpo descanse en el banco inclinado, con los dedos de los pies en el suelo, para estar en una posición inclinada- soportado,",https://www.youtube.com/watch?v=GM2X6KfXxTc
Colócate de modo que la parte delantera del cuerpo descanse en,hecho,Flexión,Explosividad,Barra,"trampa Glúteos, isquiotibiales, erectores de la columna","trapecio, romboides",Sagital,"Inclina el torso hacia adelante hasta quedar paralelo al suelo, mientras las caderas se echan hacia atrás, manteniendo una ligera flexión en las rodillas. Agarra con las manos",https://www.youtube.com/watch?v=pPtxZ0Jgs3c
Banded Tricep Pushdown,hecho,Empuje,Carga externa,Banda,Tríceps Extensores,Extensors,Sagital,Hacia el suelo.,https://www.youtube.com/watch?v=z6Rw0As2sms
Banded Upright Row,hecho,Jalón,Carga externa,Banda,"Dorsal Deltoides ancho, trapecio, Bíceps",Biceps,Sagital,Los codos hacia el techo y aprietas los omóplatos juntos.,https://www.youtube.com/watch?v=E68AHjg1vqY
Pasa el extremo libre de la banda Extensión de muñeca con banda,hecho,Empuje,Carga externa,Banda,"Extensores Deltoides anteriores, tríceps",,Sagital,SuQwFyk la,https://www.youtube.com/watch?v=q
Burpee frente a la barra,hecho,Empuje,Peso corporal,Barra,"Cuádriceps, glúteos, tríceps, Recto abdominal, pantorrillas, Pectorales, deltoide",s Isquiotibiales,Transversal,"Hacia arriba y salta los pies hacia las manos y ponte de pie, y per",https://www.youtube.com/watch?v=AphhjyjiVeg
Bar Muscle-Up,re-film,Tirar,Peso corporal,-Barra,"de dominadas- Dorsal Deltoides, ancho, Trapecio, Anterior Tríceps Núcleos,",Bíceps,Sagital,"Núcleo y continúa tirando hasta que lleves el pecho sobre la barra, aterrizaje",https://www.youtube.com/watch?v=ubFc5i5oS70
Press de banca con barra,re-film,Core,,,"Pec Major, Anterior Deltoids","Triceps, Core",Sagital,"Hacia la parte inferior del pecho, permitiendo que los codos se abran a aproximadamente 45",https://www.youtube.com/watch?v=iBdF89xBAxA
Barbell Drag Curl,hecho,Tirar,Carga externa,Barra,"Bíceps Trapecio, Extensores de muñeca",", Supraespinoso",Frontal,"Barra pegada al cuerpo mientras se flexionan y se llevan los codos hacia atrás. Luego,",https://www.youtube.com/watch?v=hT-ajSSNNHM
Barbell Drop Lunge,hecho,Una pierna,Carga externa,Barra,"Cuádriceps, glúteos, isquiotibialesRecto Abdominis",Rectus Abdominis,Sagital,"Permitiendo que ambas rodillas se doblen manteniendo la columna vertical. Luego,",https://www.youtube.com/watch?v=kgFVdnCNaqk
Zancada Frontal con Barra,hecho,Una pierna,Carga externa,Barra,"Cuádriceps, Glúteos, Isquiotibiales Recto Abdominal",Rectus Abdominis,Sagital,"Posición. Luego, empuja hacia abajo desde el talón delantero para dar un paso atrás con tu pie delantero de vuelta al inicio Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=k-E4onRcLkY
Coloque una barra sobre Empuje de cadera con barra en el suelo,hecho,Doblar,Carga externa,Barra,"Glúteos, isquiotibiales Cuádriceps, Recto Abdominal Sagital la parte",,Frontal,"IVLya0 Para iniciar el movimiento, empuje hacia abajo con los talones y apriete",https://www.youtube.com/watch?v=soGI
Barbell Good Morning,re-film,Doblar,Carga externa,Barra,"Isquiotibiales, Erector de la columna, Glúteos, Cuádriceps, Latísimo del dorso",,Sagital,"TebU rodillas, y empuje las caderas hacia atrás mientras lleva la parte superior del cuerpo hacia adelante y hacia el suelo, manteniendo la columna neutral. Luego, con control, impulse t",https://www.youtube.com/watch?v=6
Hack Squat con barra,hecho,Sentadilla,Carga externa,Barra,"Cuádriceps, Isquiotibiales, Glúteos Deltoides, Recto Abdominal",,Sagital,Cabeza arriba y la columna vertebral vertical durante el movimiento. Para iniciar el movem,https://www.youtube.com/watch?v=BfAK1Rs
Barbell Hip Thrust on Bench,hecho,Doblar,Carga externa,Barra,"Glúteos, isquiotibiales Cuádriceps, Rect",o Abdominal Sagital flexion y talones hacia abajo y una barra acostada sobre la cadera,Frontal,"Manos sujetando la barra en pronación. Para iniciar el movimiento, impulse",https://www.youtube.com/watch?v=OgDxMvKDiZY
Barbell On Knee Dorsiflexion,hecho,Sentadilla,Carga externa,Barra,"Anterior Tibial, pantorrillas Cuádriceps,",glúteos,Sagital,Balancear el cuerpo ligeramente hacia adelante y hacia atrás para trabajar en la movilidad de t,https://www.youtube.com/watch?v=EYaI8PT81QU
Sentadilla con barra por encima de la cabeza,re-film,Sentadilla,Carga externa,Barra,"Cuádriceps, Deltoides anteriores, Glúteos, isquiotibiales Trapecio, Pantorrillas, Abdome","n Transverso Eritor Espinae, Core,",Sagital,"Parte inferior de una posición de sentadilla. Luego, impulsa hacia abajo por los talones para pararte",https://www.youtube.com/watch?v=GsMNm9GGlE8
Step Down Patrick con Barra,hecho,Una pierna,Carga externa,Barra,"Cuádriceps, Tibial Anterior, Glúteos, Isquiotibiales Pantorrillas, Erector de l",a Espina,Sagital,Comienza a llevar la rodilla hacia adelante sin levantar el talón para golpear tu,https://www.youtube.com/watch?v=NSVSiIll2R4
Curl inverso con barra,hecho,Jalar,Carga externa,Barra,"Bíceps, Tríceps Extensores,",Braquial,Sagital,"Los nudillos hacia arriba y hacia atrás hacia la parte frontal de los hombros, cadera desde los codos y manteniendo",https://www.youtube.com/watch?v=eGMP9i0tnL8
Curl inverso con barra para presionar,hecho,Empujar,Carga externa,Barra,"Deltoides, Abdomen Tríceps, Bíceps, Recto Latísimo Dorsi,",Romboides,Sagital,"Doblen de forma natural. Luego, empuja los codos hacia adelante para rodar el peso hacia arriba en",https://www.youtube.com/watch?v=jhcjONTAyIo
Zancada inversa con barra,re-film,Una pierna,Carga externa,Barra,"Cuádriceps, Glúteos, Isquiotibiales Gemelos,",Psoas,Sagital,Rodilla trasera hacia el suelo para que las piernas queden en una posición 90-90.,https://www.youtube.com/watch?v=8tNuP-1aQgg
Rodadura de barra,hecho,Núcleo,Peso corporal,Barra,Recto abdominal Intercostales,Intercostals,Sagital,Activarlos correctamente encontrando una inclinación posterior de la pelvis y manteniendo la s,https://www.youtube.com/watch?v=X3l-H3Ufstc
Barbell Rotational Gait Cycle,hecho,Una pierna,Carga externa,Barra,"Transverso del abdomen, flexores de la cadera","erector de la columna, recto abdominal transverso la barra. Para iniciar el movimiento, comienza dando un paso adelante",,"Que parecerá un mini desplante hacia adelante, manteniéndote mayormente erguido y",https://www.youtube.com/watch?v=4tCNTE6b6q0
Encogimiento de hombros con barra,hecho,Jalar,Carga externa,Barra,"Trapecio, Romboides Latísimo dorsal,",Deltoides,Sagital,"Mientras mantiene los brazos rectos, y luego desciende a la posición inicial posición.",https://www.youtube.com/watch?v=vVfClNqwHNA
Subida a la barra,hecho,Una pierna,Carga externa,Barra,"Cuádriceps, Gemelos Glúteos, Isquiotibiales, Recto abdominal",Rectus Abdominis,Sagital,"Pie sobre la caja. Manteniendo la columna vertical, inclínate hacia adelante hacia el pie en la caja un",https://www.youtube.com/watch?v=6gbWIjOa98Y
Thruster con barra,re-film,Empujar,Carga externa,Barbilla?,"No, Barbell Cuádriceps, Glúteos, Isquiotibiales, Tríceps, Trapecio, Recto posición de rack. Para iniciar el movimiento, comienza a doblar las rodillas y is , , Deltoides anteriores Abdominales, Deltoides traseros",,Sagital,TUPpU-UA a través de los talones para volver a ponerse de pie y usar el impulso fro Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube,https://www.youtube.com/watch?v=Pb
Barbell Walk Out,,Sentadilla,Carga externa,Barra,"Core, cuádriceps, glúteos Dorsal Deltoides ancho,","anteriores erectores de la columna,",Sagital,"Movimiento, empuja con los talones para sacar la barra y comienza a",https://www.youtube.com/watch?v=2SKhzVLT2Ws
Barbell Walking Lunge,hecho,Una pierna,Carga externa,Barra,"Cuádriceps, glúteos, isquiotibiales Recto abdominal,",dorsales,Sagital,"Queden en posición de 90-90 grados, y permite que la rodilla trasera toque suavemente el",https://www.youtube.com/watch?v=UDgk7EQhTUg
Barbell Windshield Wiper,hecho,Core,Carga externa,Barra,"Transverso Abdominales abdominal, recto Deltoides anteriores",Anterior Deltoids,Transversal,"Movimiento, comienza a bajar ambas piernas lateralmente hacia un lado, tanto como puedas, con",https://www.youtube.com/watch?v=RrTSC419boM
Wiper,hecho,Core,Carga externa,Barra,"Transverso Abdominales abdominal, recto Deltoides anteriores Transversal agarre en pronación. Desde esta posición, eleva los talones hacia techo con las piernas rectas formando una L. Para iniciar el el https://www.youtube.com/watch?v=RrTSC419boM movimiento, comienza a bajar ambas piernas lateralmente hacia un lado, tanto como puedas, con El Barbell Upright Row comienza en posición erguida, con una barra colgando frente a los muslos, manos en pronación y Barbell Upright Row regrabar Jalar Carga externa Barra Trapecio, bíceps, deltoides medial, escápulas, deltoides anterior",,Sagital,"Suban hacia el techo. Luego, con control, baja el peso de nuevo hacia",https://www.youtube.com/watch?v=Dux7qHaa
Barbell Upright Row regrabar,,Jalar,Carga externa,Barra,"Trapecio, bíceps","deltoides medial, escápulas, deltoides anterior Sagital separadas la barra por al ancho el frente de los hombros. del cuerpo Para iniciar y permite el movimiento, que los comienza codos se a tirar doblen y arrastrar y https://www.youtube.com/watch?v=Dux7qHaa\_6w suban hacia el techo. Luego, con control, baja el peso de nuevo hacia El Batwing Hold comienza acostado en posición supina sobre un banco plano con las piernas elevadas del banco y una mancuerna en cada mano, comenzando con los brazos Batwing Hold regrabar Jalar Carga externa Mancuerna Dorsal ancho, Bíceps Trapecio, Romboides",Sagital,"Caja torácica (como en un remo), manteniendo un agarre neutro y los codos cerca del cuerpo y mantén.",https://www.youtube.com/watch?v=DesGrIU1y4k
Batwing Hold regrabar,,Jalar,Carga externa,Mancuerna,"Dorsal ancho, Bíceps Trapecio","Romboides Sagital colgado. Para iniciar el movimiento, tira de las mancuernas haciahttps://www.youtube.com/watch?v=DesGrIU1y4k la caja torácica (como en un remo), manteniendo un agarre neutro y los codos cerca del cuerpo y mantén. Bear Crawl comienza en una posición de perro boca abajo, como una plancha pero Bear Crawl volver a grabar Locomoción Peso corporal Ninguno Cuádriceps, Deltoides anteriores Gemelos, Pectoral mayor, Glúteos",Sagital,Alternando manos y pies juntos para estabilidad y ritmo.,https://www.youtube.com/watch?v=63IBkFSR6PY
Bear Crawl volver a grabar,,Locomoción,Peso corporal,Ninguno,"Cuádriceps, Deltoides anteriores Gemelos","Pectoral mayor, Glúteos Sagital con las caderas elevadas y las rodillas ligeramente dobladas. Para iniciar el movimiento, comienza caminando con las manos y los pies hacia adelante, https://www.youtube.com/watch?v=63IBkFSR6PY alternando manos y pies juntos para estabilidad y ritmo. Beat Swings en barra comienza colgando de una barra de dominadas, con las manos en pronación y sujetando un poco más ancho que el ancho de los hombros. Para Beat Swings en barra volver a grabar Jalar Peso corporal Barra de dominadas Dorsal ancho, Escápulas Core, Trapecio",Sagital,"Cuerpo , y tirando el cuerpo hacia atrás. Luego, abre el frente del cuerpo, arqueando la espalda, mientras te balanceas hacia adelante a través de la barra.",https://www.youtube.com/watch?v=F6v3dYvYOoU
Para Beat Swings en barra volver a grabar,,Jalar,Peso corporal,Barra de dominadas,"Dorsal ancho, Escápulas Core","Trapecio Sagital iniciar el movimiento, comienza hundiendo el frente del https://www.youtube.com/watch?v=F6v3dYvYOoU cuerpo, y tirando el cuerpo hacia atrás. Luego, abre el frente del cuerpo, arqueando la espalda, mientras te balanceas hacia adelante a través de la barra. Beat Swings en anillas comienza colgando de un par de anillas de gimnasia anillas. Para iniciar el movimiento, hunde el frente del Beat Swings en anillas volver a grabar Jalar Peso corporal Anillas Dorsal ancho, Escápulas Core, Trapecio",Sagital,Cuerpo arqueando la espalda y balanceándote hacia adelante de las anillas.,https://www.youtube.com/watch?v=OEbTnKKff6Q
Jalón tras nuca,hecho,Jalar,Carga externa,Polea,"Dorsal Bíceps ancho, Romboides, Escalenos",Scalenes,Sagital,Suelo. Sujeta la barra recta con las manos un poco más anchas que el ancho de los hombros- de ancho,https://www.youtube.com/watch?v=RGVH3umZ77Y
Jalón tras nuca,hecho,Jalar,Carga externa,Polea,"Dorsal Bíceps ancho, Romboides, Escalenos Sagital y colocando una caja o banco debajo de la barra. Siéntate erguido en la caja o banco","con la columna vertical y los talones apoyados en el https://www.youtube.com/watch?v=RGVH3umZ77Y suelo. Sujeta la barra recta con las manos un poco más anchas que el ancho de los hombros- de ancho La isometría de dominada tras nuca comienza colgando de una barra de dominadas. Para Isometría de dominada tras nuca volver a grabar Jalar Peso corporal Barra de dominadas Dorsal ancho, Bíceps, Deltoides, Escápulas, Trapecio",Sagital,"Barra, permitiendo que los codos se abran y se mantengan así.",https://www.youtube.com/watch?v=0iGUGhIYUk0
Behind the Neck Push Jerk,re-film,Empujar,Explosividad,Barbell,"Deltoides Cuádriceps, anteriores, Transverso Tríceps, del abdomen glúteos,",dorsal ancho,Sagital,"Través de los talones para ponerse de pie y empujar el peso por encima de la cabeza, y doblarse en th",https://www.youtube.com/watch?v=UbgE9coVAf8
Behind the Neck Push Press,re-film,Empujar,Explosividad,Barbell,"Deltoides Cuádriceps, anteriores, Transverso Tríceps, del abdomen glúteos,",dorsal ancho,Sagital,Rodillas dobladas a una posición de media sentadilla y luego impulsa a través de los talones para ponerse de pie y presionar el peso por encima de la cabeza con los brazos extendidos. TEl push jerk con agarre de arranque por detrás del cuello es un ejercicio de levantamiento de pesas Behind the Neck Snatch Grip Push Jerk,https://www.youtube.com/watch?v=IilHaDtaZQM
Behind the Neck Snatch Grip Push Jerk,re-film,Empujar,Explosividad,Barbell,"Deltoides Cuádriceps, anteriores, Transverso Tríceps, del abdomen glúteos,",dorsal ancho,Sagital,Jerk. Behind the Neck Snatch Grip Push Jerk comienza en una posición de pie alta con una barra colocada en la espalda alta con las manos casi tan Behind the Neck Snatch Grip Push Press,https://www.youtube.com/watch?v=NIjvNTzfVNM
Neck Snatch Grip Push Jerk,re-film,Empujar,Explosividad,Barbell,"Deltoides Cuádriceps, anteriores, Transverso Tríceps, del abdomen glúteos,",dorsal ancho,Sagital,"Impulsarse a través de los talones para ponerse de pie y presionar el peso por encima de la cabeza, y doblar",https://www.youtube.com/watch?v=QxSxsGnw3Zc
Behind the Neck Split Jerk,re-film,Empujar,Explosividad,Barbell,"Deltoides Cuádriceps, anteriores, transverso Tríceps, del abdomen glúteos, dorsal ancho",,Sagital,Impulsa a través de los talones para presionar el peso hacia arriba por encima de la cabeza mientras saltas,https://www.youtube.com/watch?v=phB1Qk
Pul a Bocab Cho Behind the Neck Split Press,re-film,Empujar,Carga externa,Barra,"Deltoides anteriores, Tríceps Cuádriceps,",Trapecio,Sagital,"Peso hacia arriba por encima de la cabeza de modo que los brazos estén extendidos y luego, con control, bajar la barra de nuevo a la parte superior de la espalda. Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=4F7OGlWy4lc
Step Up detrás del cuello,re-film,Pierna única,Carga externa,Barra,"Cuádriceps, glúteos, isquiotibialesPantorrillas,",erectores de la columna,Sagital,Rodilla y apoya el talón del pie en la caja y luego sube tu,https://www.youtube.com/watch?v=qbn0cFgtJZY
Behind the Neck Strict Press,re-film,Empuje,Carga externa,Barra,"Deltoides anteriores, tríceps Trapecio",Trapezius,Frontal,"Firme mientras empujas el peso por encima de la cabeza, extendiendo los brazos. Luego, con control, baja el peso de nuevo a la parte superior",https://www.youtube.com/watch?v=i67t0ooRYxw
Dominada estricta detrás del cuello,re-film,Jalar,Peso corporal,Barra de dominadas,Dorsal ancho,"bíceps Escápulas, trapecio",Sagital,"Parte inferior de la barra, permitiendo que los codos se abran naturalmente. Luego, con control, baja de nuevo",https://www.youtube.com/watch?v=kkSjGKv4WUs
Thruster detrás del cuello,re-film,Empuje,Carga externa,Barra,"Quadriceps, Glutes, Anterior Deltoids, Hamstrings","Triceps, Trapezius, Rectus Abdominis",Sagital,"Deltoides, isquiotibiales Abdominales flexiona las rodillas y baja las caderas hacia atrás y hacia abajo hasta el fondo de una posición de sentadilla. Luego, impulsa a través de los talones para volver a ponerte de pie y empujar",https://www.youtube.com/watch?v=TJBPypP1rW0
Belt Squat,re-film,Sentadilla,Carga externa,"Cuádriceps,","Glúteos, Isquiotibiales Gemelos, Recto Abdominal","Calves, Rectus Abdominis",Sagital,"Movimiento, flexiona las rodillas y hunde las caderas hasta la parte inferior de una posición de sentadilla. Luego, impulsa a través de los talones para volver a ponerte de pie t",https://www.youtube.com/watch?v=ZEm3PbtuC5Q
Posterior Bench Deadbug,hecho,Núcleo,Peso corporal,Banco,"Recto Abdominal, Flexores de la cadera","Ankle Extensors, Posterior Deltoids",Sagital,"Deltoides brazo y pierna de vuelta juntos, llevando el brazo hacia la oreja y permitiendo que el talón del pie toque Bench Dip comienza con las palmas colocadas en un banco plano en una pronación posición, brazos extendidos, caderas flotando frente al banco, y piernas Bench Dip",https://www.youtube.com/watch?v=rGNZKSu0UbY
Bench Dip,re-film,Empujar,Peso corporal,Banco,"Pectoral mayor, Tríceps Deltoides anteriores",Anterior Deltoids,Sagital,"Los codos se doblen mientras hundes las caderas hacia el suelo. Luego, presiona las palmas contra el banco para e",https://www.youtube.com/watch?v=W0QANwRvgFA
Bench Pike Squat,hecho,Sentadilla,Peso corporal,Banco,"Isquiotibiales, glúteos, cuádriceps Trapecios",Traps,Sagital,"Movimiento, comienza a hundir las caderas mientras flexionas las rodillas, y",https://www.youtube.com/watch?v=ICHO3dd2b2A
Bench Plank,hecho,Núcleo,Peso corporal,Banco,"Recto Abdominal Cuádriceps,",Deltoides anteriores,Sagital,Core llevando el ombligo hacia la columna y encontrar una ligera comprime los glúteos y los muslos internos.,https://www.youtube.com/watch?v=U3i6jhSLwhw
Bench Plank Dumbbell Row,hecho,Jalar,Carga externa,Mancuerna,Deltoides anteriores,Anterior Deltoids,Sagital,"Abdominales hombros y pies separados al ancho de las caderas. Activa el core y procura mantener las caderas alineadas durante todo el movimiento. Para iniciar el movimiento,",https://www.youtube.com/watch?v=MoUBn1NOMdo
Bench Plank Kettlebell Row,hecho,Jalar,Carga externa,Kettlebell,Deltoides anteriores,Anterior Deltoids,Sagital,"Abdominales hombros y pies separados al ancho de las caderas. Activa el core y procura mantener las caderas alineadas durante todo el movimiento. Para iniciar el movimiento,",https://www.youtube.com/watch?v=y-Z6pkKoygU
Bench Press with Chains,hecho,Empujar,Carga externa,Barra,Bíceps,Biceps,Sagital,"Tríceps y manos en pronación. Para iniciar el movimiento, saca el peso del soporte y comienza con la barra sobre el pecho.",https://www.youtube.com/watch?v=Q55TR95BWos
Flexión Escapular sobre Banco,hecho,Empujar,Peso corporal,Banco,Tríceps,Triceps,Sagital,"Abdominales caderas, piernas rectas y columna neutral. Activa el core llevando",https://www.youtube.com/watch?v=vIw9cBMkQ5g
Flexión Escapular sobre Banco,hecho,Empujar,Peso corporal,Banco,Tríceps Sagital brazos rectos girando los tríceps hacia atrás. Mantén los pies al ancho de las https://www.youtube.com/watch?v=vIw9cBMkQ5g Abdominales caderas,"piernas rectas y columna neutral. Activa el core llevando el ombligo hacia la columna y apretando los glúteos y El Hollow Hold con piernas flexionadas comienza acostado boca arriba en posición supina con rodillas flexionadas y talones en el suelo. Para iniciar el movimiento, lleva los Hollow Hold con piernas flexionadas regrabar Core Peso corporal Ninguno Recto del abdomen Flexores de la cadera",Sagital,Codos de hombro fuera del piso y rodillas hacia el pecho y extender los,https://www.youtube.com/watch?v=uKGd8kv7Qzo
Plancha de copenhague con rodilla flexionada,hecho,Núcleo,Peso corporal,Banco,Intercostales,Intercoastals,Frontal,"Abdomen movimiento, jale la parte interior inferior del muslo hasta la parte inferior del banco",https://www.youtube.com/watch?v=obtdLUWZi-Y
Pull Apart con banda inclinada,hecho,Tirar,Carga externa,Banda,Trapecio,Trapezius,Sagital,Romboides amplíe hasta alinearse con los hombros y luego vuelva a bajar por debajo de,https://www.youtube.com/watch?v=RzfT0OEUmD8
Remo con barra inclinado,re-film,Tirar,Carga externa,Barra,"Latísimo dorsal, bíceps Isquiotibiales,",escapular,Sagital,"Comience a jalar la barra hacia la parte inferior del pecho. Luego, con",https://www.youtube.com/watch?v=B4Zydi-lMnA
Remo doble con kettlebell,re-film,Tirar,Carga externa,Kettlebell,"Latísimo dorsal, bíceps Isquiotibiales, trapecios, escápulas",,Sagital,Las asas de la kettlebell hacia la parte superior de la caja torácica y apriete.,https://www.youtube.com/watch?v=5j
Para adoptar la posición inicial Reverse Fly inclinado con mancuernas,hecho,Jalar,Carga externa,Mancuerna,"Escápulas, Trapecio Deltoides posteriores,",Redondo menor,Sagital,"Directamente debajo de tus hombros. Manteniendo los brazos rectos, eleva los",https://www.youtube.com/watch?v=KpY5R2wb12U
Remo inclinado con mancuernas,hecho,Jalar,Carga externa,Mancuerna,"Dorsal ancho, Romboides Bíceps",Biceps,Sagital,"Codos hacia atrás y mancuernas hacia la parte superior de la caja torácica y aprieta. Luego, con control, baja las mancuernas de nuevo a",https://www.youtube.com/watch?v=Hh8Y5HT56P0
Elevación lateral inclinado,hecho,Jalar,Carga externa,Mancuerna,"Posterior Deltoids, Latissimus Dorsi, Trapezius","Rectus Abdominis, Glutes, Hamstrings",Sagital,"Dorsal ancho, Trapecio Isquiotibiales llevando la parte superior del cuerpo hacia adelante y hacia abajo, manteniendo la columna",https://www.youtube.com/watch?v=wTwRHd52Yrk
Bent Over Plate Row,hecho,Jalar,Carga externa,Disco,Bíceps,Biceps,Sagital,Abdominales lleva la parte superior del cuerpo hacia adelante y hacia abajo con el disco en las,https://www.youtube.com/watch?v=6xBh-hw-5Hk
